CASRN	Uterotrophic LEL	PhysChem Properties fu	PhysChem Properties MW, Molecular Weight	PhysChem Properties CLint	PhysChem Properties MP	PhysChem Properties pKa_ionization	PhysChem Properties LogD, pH 7.4
98-09-9	NA	0.148491081376443	175.96987808	0.997137494864766	28.8225949268568	0.0	0.952413492947896
75-26-3	NA	0.400057203340561	121.973112324	1.12852002144293	-101.797955550511	0.0	2.13189853391986
50-06-6	NA	0.471929852139386	232.084792244	-5.81581988412542	178.363848610173	1.0	1.2458891373141
525-82-6	NA	0.0210534387916187	222.06807956	0.775378493353265	113.563205246456	0.0	3.57062662980741
3970-62-5	NA	0.532139658210179	116.120115132	1.20471857366098	-40.5838313249811	1.0	2.20622542202001
64675-10-1	0.01	0.196190047259452	424.261359632001	0.964667757044926	97.8554240714236	0.0	6.19380892173131
1647-16-1	NA	0.0182358131284205	138.140850576	-0.522708380584792	-107.021304508551	0.0	5.03872158097628
144-55-8	NA	0.876605260517889	62.000393924	1.27508840626517	126.532608601815	1.0	-6.81921997595059
56-53-1	4.4500000000000003E-4	0.0227515149863834	268.14632988	1.03471617286365	161.463157759546	1.0	4.80863486932082
13311-84-7	NA	0.0486790408732428	276.072176872	1.30552998566528	145.907164584261	1.0	3.30411407732436
77-40-7	110.0	0.0316375455130575	242.130679816	1.46281620133353	137.188047056706	1.0	3.76389876898391
56-38-2	NA	0.00548519338794084	291.033030178	0.916188365584544	18.9701370041182	1.0	2.94069222628189
68047-06-3	1.6E-4	0.0337425712801043	387.219829168001	1.04296523885916	177.975986823143	1.0	5.45317406262558
10161-33-8	NA	0.141358592502154	270.161979944	1.58020349088881	152.531917553076	1.0	3.14189920506093
68359-37-5	NA	0.0112057858619266	433.064777016001	0.864890694349176	68.4396839408897	1.0	5.38363578766158
330-55-2	NA	0.142086107376962	248.01193292	1.42112413092697	95.1944294711009	1.0	3.05311209910836
66-81-9	NA	0.625647097488853	281.162708216001	0.251472334537881	130.249771417318	1.0	0.228774924668028
2550-26-7	NA	0.126395329219663	148.088815004	1.55585117030137	-6.73469252053385	0.0	2.38097792006512
50-78-2	NA	0.346567030046296	180.042258736	-1.19848806003064	126.188825976372	1.0	-1.90228029011341
50-55-5	3.0	0.0147332407004154	608.273380860001	1.07043481996875	256.763963610859	1.0	4.04518861750083
39670-09-2	NA	0.747631478616421	246.146723804	0.626677661708515	-26.7362168371262	0.0	1.70644783811071
64-17-5	NA	0.996756788288509	46.041864812	1.13824804451743	-109.622510099647	1.0	-0.288872500806164
27314-13-2	NA	0.16508491900131	303.038624248	0.777198472796027	66.9587699919447	1.0	2.4313875815468
10563-29-8	NA	0.807770441179279	159.173547672	-1.10477975188483	-2.19506979624418	1.0	-4.26516012520133
94-13-3	65.0	0.0874480355492351	180.078644244	1.58007497112315	90.2038018165926	1.0	2.76679377775617
1820573-27-0	NA	0.0112057858619266	433.064777016001	0.864890694349176	68.4396839408897	1.0	5.38363578766158
96-48-0	NA	0.924478092416704	86.036779432	1.12424036606662	-28.7295565677871	0.0	-0.52745765970838
2467-02-9	20.0	0.0355157740420424	200.083729624	0.968194224008893	121.522082089726	1.0	3.40062432907138
51-24-1	1000.0	0.148708085966775	621.763502768	-3.24745946171934	184.067696706339	1.0	3.82630978745485
427-51-0	NA	0.0353065828190076	416.175437088001	1.19140895519539	177.939897364224	0.0	3.40505485426219
1563-66-2	NA	0.381195240732673	221.10519334	-5.6424518812048	138.279335185303	1.0	1.47890704639015
78-93-3	NA	0.916842232075308	72.057514876	1.14172031076111	-80.003775754864	0.0	0.390448040609287
96568-04-6	NA	0.268223149251739	278.986526696	0.69631606960016	78.4872124681927	1.0	1.96596421139605
127-18-4	NA	0.023412300676046	163.87541072	1.05936737535052	-16.758425445719	0.0	3.36986919275351
50-29-3	NA	0.230666204034105	351.914688688	0.560009444929036	104.612877397871	0.0	6.91244038734731
50-21-5	NA	0.986994180075979	90.031694052	1.25864943877067	45.6135724032897	1.0	-4.28397009279836
40487-42-1	300.0	0.00249446941933228	281.137556088001	0.595198653454663	61.8442052379072	1.0	5.05818225928756
51-98-9	NA	0.187190507246	340.203844756001	0.925561636929717	159.938422473036	0.0	3.57907349485999
1912-24-9	NA	0.113737601194902	215.093773128	0.837922962625529	181.3887584879	1.0	2.68747804606111
4659-45-4	NA	0.0369835912421797	207.924947756	1.04924068486501	30.6766716687715	0.0	3.58372638006329
99-76-3	55.0	0.104495022767584	152.047344116	1.97496783724311	104.119679979398	1.0	1.88312586518502
446-72-0	32.81481481481482	0.019200824684833	270.05282342	1.24335594562492	283.014113734778	1.0	2.95741613445684
118-58-1	3.7	0.0390142424832193	228.078644244	-0.408152770684138	67.1515731140907	1.0	3.09702309825526
98-36-2	NA	0.215120912093374	206.975691732	-0.935295788644948	167.789433026977	1.0	-4.91044460956058
108-83-8	NA	0.206070147985991	142.135765196	-0.18116586907193	-21.2155895333315	0.0	3.2781944619997
67-63-0	NA	0.993917545736917	60.057514876	1.13611214395556	-96.9517771157841	1.0	0.1857955846446
64675-08-7	1.56E-4	0.196190047259452	424.261359632001	0.964667757044926	97.8554240714236	0.0	6.19380892173131
66230-04-4	NA	0.0100582301225959	419.128821244001	0.366411361991154	61.7746978739446	1.0	6.05665436192885
7696-12-0	NA	0.0246247610209524	331.178358280001	1.24438779132831	70.5626153599999	1.0	4.50703287014436
89-86-1	NA	0.560192560401509	154.026608672	-1.32101652324559	196.378097642704	1.0	-2.09590794823341
84371-65-3	NA	0.0215651001385741	429.266779360001	1.19385414559355	125.469421348622	1.0	5.0101716261819
64-19-7	NA	0.978944633482535	60.021129368	1.26895728511129	114.391416862406	1.0	-3.6409048408823
97-54-1	NA	0.0630817376942125	164.083729624	1.68385264893842	13.2843050050264	1.0	2.78142820946752
133-07-3	NA	0.0235291142512182	294.902832408	-0.400654401728693	150.72330006524	1.0	-0.839037707898017
96-41-3	NA	0.849592389071495	86.07316494	1.13685267974513	-16.7745469220988	1.0	0.88656639065838
56-81-5	NA	0.98691833428049	92.047344116	1.14333292903239	38.196055564623	1.0	-1.78836431389183
106-50-3	NA	0.620956530145361	108.068748256	-5.17398155693874	111.269312319356	1.0	-0.219746001351312
21087-64-9	NA	0.505179910795751	214.088832068	0.0966797093942865	127.421624458307	1.0	1.70267049788439
1806-26-4	100.0	0.00523244607287282	206.167065324	0.639788954654676	53.0332700841509	1.0	5.18751894290259
111-68-2	NA	0.726132496611583	115.136099544	1.04610491364958	-23.6007892285829	1.0	-0.778513440456316
50-28-2	0.10713994008333337	0.0290834877095269	272.177630008	1.39642270805041	196.659245600202	1.0	3.90756242587021
446-35-5	NA	0.0641400946674175	159.013184776	1.08126519466412	3.58747942121094	1.0	1.96390124424511
911-45-5	0.001	0.064256324271735	405.185942196001	-0.450765793381594	86.4496129322803	1.0	4.60252317011387
298-46-4	NA	0.349573858077823	236.094963004	-5.33766354440244	189.491586400605	1.0	2.46407724089902
105-30-6	NA	0.624414174767753	102.104465068	-3.39410083995131	-43.2903581014614	1.0	1.85256629464461
84-61-7	NA	0.0232921503721617	330.183109312001	-0.683272060559225	70.6375052554465	0.0	5.83394166902805
108-95-2	NA	0.743184745957275	94.041864812	1.00338727581548	35.3147636896163	1.0	1.57428985516949
1462-55-1	NA	0.0183324232097873	246.20173658	-0.0145159631446987	5.4991321417803	1.0	5.49162109939179
140-72-7	NA	0.0273691149203372	304.300425216001	0.985867828921236	55.9737487050755	1.0	2.78997932866315
119-36-8	NA	0.185608320735949	152.047344116	0.924579302160688	5.97549243079505	1.0	2.29449318381417
